fish_id,TLmm,SLmm,hw,BDmm,PAmm,BAmm,wg,CPDmm,CFDmm,Mamm,CFAmm
JML10/6.8.A,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/6.8.A,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/6.8.D,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/6.8.D,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/6.8.D,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/6.8.B,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/8.8.C,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/8.8.D,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/8.8.E,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/8.8.F,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/8.8.G,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/8.8.H,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.49,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.50,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.51,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.52,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.53,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.54,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.55,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.56,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.57,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.16,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.25,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.26,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.28,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.31,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.32,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.33,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.35,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.36,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.37,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.38,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.39,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.40,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.41,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.20,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.9,NA,13.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.10,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.19,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.35,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.46,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/7.8.B,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.31,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.32,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.7,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.8,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.20,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/7.8.A,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.1,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.2,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.5,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.29,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.3,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.6,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.7,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.11,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.12,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.37,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.39,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.40,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.42,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.44,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.13,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.15,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.16,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.17,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.18,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.19,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.21,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.23,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.24,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.25,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.26,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.27,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.28,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.30,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.33,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.34,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.36,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.38,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.41,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.43,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.45,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.47,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/11.8.48,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.2,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.3,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.4,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.5,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.11,NA,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.12,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.13,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.14,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.15,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.17,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.18,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.21,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.22,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.23,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.24,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.25,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.26,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.27,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.28,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.29,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/12.8.30,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.3,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.4,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.5,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.6,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.7,NA,2.810833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.8,NA,0.14166666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.9,NA,6.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.10,NA,6.274166666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.11,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.12,NA,0.4533333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.13,NA,1.9283333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.14,NA,25.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.15,NA,29.290000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.17,NA,2.445,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.18,NA,5.5649999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.19,NA,1.5583333333333331,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.20,NA,4.511666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.21,NA,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.22,NA,1.9283333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.23,NA,23.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10/13.8.24,NA,8.370000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML2,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML3,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML4,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML5,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML6,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML7,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML8,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML9,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML10,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML11,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML12,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML13,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML14,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML15,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML16,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.a,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.b,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.c,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.d,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.e,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.f,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.g,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.h,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.i,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.j,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.k,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/1.12.l,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.a,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.b,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.c,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.d,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.e,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.f,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.h,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JML05/2.12.i,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
