"","species_id","fish_id","date","trap","sampling_gear","year","month","filename","image","AMS_rego","publication","stage","protocol","ucrit","notes","TLmm","SLmm","hw","BDmm","PAmm","BAmm","wg","CPDmm","CFDmm","Mamm","CFAmm","species_note","taxa","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","location","region","lat","lon"
"1","acabah","05larv0144","2005-07-07","cn2","crest net",2005,7,"05larv0144.jpg","05larv0144",NA,"Hogan_etal2007","Settlement","3bl/s, 2min",30.09666667,NA,34.84289455,29.38109974,3.9,15.29040705,263.70661,300.9621098,0.77,2.977862414,5.63913354,168.9671489,41.34935511,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","BLZ","Caribbean",17.27094038,-87.813191
"2","acabah","05larv0240","2005-07-12","cn3","crest net",2005,7,NA,NA,NA,"Hogan_etal2007","Settlement","3bl/s, 2min",31.56666667,"a",35.96099939,30.32175503,4.1,15.60024375,329.0750687,335.6256738,1.02,3.168799512,12.52528946,162.2203135,57.96022921,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","BLZ","Caribbean",17.27094038,-87.813191
"3","acabah","05larv0265","2005-07-13","cn1","crest net",2005,7,NA,NA,NA,"Hogan_etal2007","Settlement","3bl/s, 2min",42.01031746,"a",36.00997506,29.83493647,4.8,16.05510034,304.569354,326.1450143,1.07,3.089894312,11.64351027,177.2306529,53.53020038,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","BLZ","Caribbean",17.27094038,-87.813191
"4","acabah","05larv0280","2005-07-14","cn3","crest net",2005,7,"05LARV0280.jpg","05larv0280",NA,"Hogan_etal2007","Settlement","3bl/s, 2min",31.52142857,"a",35,28.57,3.8,15.46142857,327.4489796,324.3469388,0.82,2.86,10.01571429,199.4897959,49.16326531,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","BLZ","Caribbean",17.27094038,-87.813191
"5","acabah","05larv0323",NA,"cn2","crest net",2005,NA,NA,NA,NA,"Hogan_etal2007","Settlement","3bl/s, 2min",42,NA,32.67303399,27.39146614,4,15.28404862,251.8161007,278.8485984,0.38,3.017861573,8.86256512,140.9167023,39.03326496,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","BLZ","Caribbean",17.27094038,-87.813191
"6","acabah","tci03nov19d","2003-11-19","hdl","light trap",2003,11,NA,NA,NA,"Fisher_etal2005","Settlement","3bl/s, 2min",42.75,NA,36.18898087,29.55238367,3.4,15.92235227,268.8157103,320.8179539,0.92,2.925564539,12.36911068,161.1494098,49.69467773,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","TCI","Caribbean",21.482169,-71.526114
"7","acabah","tci03nov19e","2003-11-19","hdl","light trap",2003,11,NA,NA,NA,"Fisher_etal2005","Settlement","3bl/s, 2min",43.0875,NA,39.77024221,32.4,3.8,17.32802768,363.5780223,374.1190838,1.06,3.450615231,14.27203193,184.5997517,64.11821037,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","TCI","Caribbean",21.482169,-71.526114
"8","acabah","tci03nov19g","2003-11-19","hdl","light trap",2003,11,"tco03nov19g.jpg","tco03nov19g",NA,"Fisher_etal2005","Settlement","3bl/s, 2min",44.83125,NA,37.55149657,30.35864276,3.5,17.57149523,317.7976256,334.5109526,0.8,NA,NA,NA,NA,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","TCI","Caribbean",21.482169,-71.526114
"9","acabah","tci03nov19h","2003-11-19","hdl","light trap",2003,11,"tci03nov19h.jpg","tci03nov19h",NA,"Fisher_etal2005","Settlement","3bl/s, 2min",49.89375,NA,32.82912088,27.01263736,3.7,15.27197802,261.2727931,280.0295858,0.85,NA,NA,NA,NA,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","TCI","Caribbean",21.482169,-71.526114
"10","acabah","tci03nov19i","2003-11-19","hdl","light trap",2003,11,NA,NA,NA,"Fisher_etal2005","Settlement","3bl/s, 2min",47.53125,NA,36.96034696,30.07311029,3.5,16.87918216,316.8334999,359.5207056,0.91,NA,NA,NA,NA,"bahianus","Acanthurus bahianus",159578,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578","Acanthurus bahianus","Castelnau, 1855","accepted",NA,220,"Species",159578,"Acanthurus bahianus","Castelnau, 1855",125908,"Animalia","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","Froese, R. and D. Pauly. Editors. (2021). FishBase. Acanthurus bahianus Castelnau, 1855. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159578 on 2021-11-12","TCI","Caribbean",21.482169,-71.526114
