family_id,Family,settlement age,swim_mode,adult_habitat,sub-order,order
ho,Holocentridae,48.7,c,demersal,Holocentroidei,Beryciformes
cl,Clupeidae,,c,pelagic,Clupeoidei,Clupeiformes
sy,Syngnathidae,,,demersal,Syngnathoidei,Gasterosteiformes
og,Ogcocephalidae,,c,demersal,Ogcocephalioidei,Lophiiformes
an,Antennariidae,,c,demersal,Antennarioidei,Lophiiformes
ap,Apogonidae,22.5,pc,demersal,Percoidei,Perciformes
bl,Blennidae,21.7,,demersal,Blennioidei,Perciformes
ca,Carangidae,,c,pelagic,Percoidei,Perciformes
ch,Chaetodontidae,38.04,pc,demersal,Acanthuroidei,Perciformes
ps,Pseudochromidae,38.94,pc,demersal,Percoidei,Perciformes
ac,Acanthuridae,62.79,p,demersal,Acanthuroidei,Perciformes
le,Lethrinidae,33.54,c,demersal,Percoidei,Perciformes
lu,Lutjanidae,34.51,c,demersal,Percoidei,Perciformes
mu,Mullidae,43.69,,demersal,Percoidei,Perciformes
ne,Nemipteridae,19,pc,demersal,Percoidei,Perciformes
no,Nomeidae,,c,pelagic,Stromateoidei,Perciformes
la,Labridae,,p,demersal,Labroidei,Perciformes
ge,Gerreidae,,c,demersal,Percoidei,Perciformes
se,Serranidae,38.62,c,demersal,Percoidei,Perciformes
si,Siganidae,32.5,c,demersal,Acanthuroidei,Perciformes
sp,Sphyraenidae,,c,pelagic,Scombroidei,Perciformes
tr,Terapontidae,,c,demersal,,Perciformes
pe,Pomacentridae,22.4,pc,demersal,Labroidei,Perciformes
pa,Pomacanthidae,,pc,demersal,Percoidei,Perciformes
cn,Chaenopsidae,,,demersal,,Perciformes
ha,Haemulidae,,c,demersal,Percoidei,Perciformes
sc,Scorpaenidae,,,demersal,Scorpaenoidei,Scorpaeniformes
ba,Balistidae,28.7,dv,demersal,Tetraodontoidei,Tetraodontiformes
os,Ostraciidae,,dvc,demersal,Tetraodontoidei,Tetraodontiformes
tt,Tetraodontidae,,dv,demersal,Tetraodontoidei,Tetraodontiformes
mo,Monacanthidae,24,dv,demersal,Tetraodontoidei,Tetraodontiformes
di,Diodontidae,,,demersal,Tetraodontoidei,Tetraodontiformes
