fish_id,image
05LARV0002,05LARV0002
05LARV0003,05LARV0003
05LARV0004,05LARV0004
05LARV0005,05LARV0005
05LARV0006,05LARV0006b
05LARV0007,05LARV0007
05LARV0008,05LARV0008
05LARV0009,05LARV0009
05LARV0010,05LARV0010
05LARV0011,05LARV0011
05LARV0013,05LARV0013
05LARV0014,05LARV0014
05LARV0015,05LARV0015
05LARV0016,05LARV0016
05LARV0017,05LARV0017
05LARV0018,05LARV0018
05LARV0019,05LARV0019
05LARV0020,05LARV0020
05LARV0021,05LARV0021
05LARV0022,05LARV0022
05LARV0023,05LARV0023
05LARV0024,05LARV0024
05LARV0025,05LARV0025
05LARV0026,05LARV0026
05LARV0027,05LARV0027
05LARV0028,05LARV0028
05LARV0029,05LARV0029
05LARV0030,05LARV0030
05LARV0031,05LARV0031
05LARV0032,05LARV0032
05LARV0033,05LARV0033
05LARV0034,05LARV0034
05LARV0035,05LARV0035
05LARV0036,05LARV0036
05LARV0037,05LARV0037
05LARV0038,05LARV0038
05LARV0040,05LARV0040
05LARV0042,05LARV0042
05LARV0043,05LARV0043
05LARV0044,05LARV0044
05LARV0045,05LARV0045
05LARV0046,05LARV0046
05LARV0047,05LARV0047
05LARV0048,05LARV0048
05LARV0049,05LARV0049
05LARV0050,05LARV0050
05LARV0051,05LARV0051
05LARV0052,05LARV0052
05LARV0053,05LARV0053
05LARV0054,05LARV0054
05LARV0055,05LARV0055
05LARV0056,05LARV0056
05LARV0057,05LARV0057
05LARV0058,05LARV0058
05LARV0059,05LARV0059
05LARV0060,05LARV0060
05LARV0061,05LARV0061
05LARV0062,05LARV0062
05LARV0063,05LARV0063
05LARV0064,05LARV0064
05LARV0066,05LARV0066
05LARV0067,05LARV0067
05LARV0068,05LARV0068
05LARV0069,05LARV0069
05LARV0070,05LARV0070
05LARV0071,05LARV0071
05LARV0072,05LARV0072
05LARV0073,05LARV0073
05LARV0074,05LARV0074
05LARV0075,05LARV0075
05LARV0077,05LARV0077
05LARV0078,05LARV0078
05LARV0079,05LARV0079
05LARV0080,05LARV0080
05LARV0081,05LARV0081
05LARV0082,05LARV0082
05LARV0083,05LARV0083
05LARV0086,05LARV0086
05LARV0087,05LARV0087
05LARV0088,05LARV0088
05LARV0090,05LARV0090
05LARV0091,05LARV0091
05LARV0092,05LARV0092
05LARV0093,05LARV0093
05LARV0094,05LARV0094
05LARV0096,05LARV0096
05LARV0097,05LARV0097
05LARV0098,05LARV0098
05LARV0099,05LARV0099
05LARV0100,05LARV0100
05LARV0101,05LARV0101
05LARV0102,05LARV0102
05LARV0103,05LARV0103
05LARV0104,05LARV0104
05LARV0105,05LARV0105
05LARV0106,05LARV0106
05LARV0107,05LARV0107
05LARV0108,05LARV0108
05LARV0109,05LARV0109
05LARV0110,05LARV0110
05LARV0111,05LARV0111
05LARV0112,05LARV0112
05LARV0113,05LARV0113
05LARV0114,05LARV0114
05LARV0115,05LARV0115
05LARV0116,05LARV0116
05LARV0117,05LARV0117
05LARV0118,05LARV0118
05LARV0119,05LARV0119
05LARV0120,05LARV0120
05LARV0121,05LARV0121
05LARV0122,05LARV0122
05LARV0123,05LARV0123
05LARV0124,05LARV0124
05LARV0125,05LARV0125
05LARV0126,05LARV0126
05LARV0127,05LARV0127
05LARV0128,05LARV0128
05LARV0129,05LARV0129
05LARV0130,05LARV0130
05LARV0131,05LARV0131
05LARV0132,05LARV0132
05LARV0133,05LARV0133
05LARV0134,05LARV0134
05LARV0135,05LARV0135
05LARV0136,05LARV0136
05LARV0137,05LARV0137
05LARV0138,05LARV0138
05LARV0139,05LARV0139
05LARV0140,05LARV0140
05LARV0141,05LARV0141
05LARV0142,05LARV0142
05LARV0144,05LARV0144
05LARV0145,05LARV0145
05LARV0147,05LARV0147
05LARV0148,05LARV0148
05LARV0149,05LARV0149
05LARV0150,05LARV0150
05LARV0151,05LARV0151
05LARV0152,05LARV0152
05LARV0153,05LARV0153
05LARV0154,05LARV0154
05LARV0155,05LARV0155
05LARV0156,05LARV0156
05LARV0157,05LARV0157
05LARV0158,05LARV0158
05LARV0159,05LARV0159
05LARV0160,05LARV0160
05LARV0161,05LARV0161
05LARV0162,05LARV0162
05LARV0163,05LARV0163
05LARV0164,05LARV0164
05LARV0165,05LARV0165
05LARV0166,05LARV0166
05LARV0167,05LARV0167
05LARV0168,05LARV0168
05LARV0169,05LARV0169
05LARV0170,05LARV0170
05LARV0171,05LARV0171
05LARV0172,05LARV0172
05LARV0173,05LARV0173
05LARV0174,05LARV0174
05LARV0175,05LARV0175
05LARV0176,05LARV0176
05LARV0177,05LARV0177
05LARV0178,05LARV0178
05LARV0179,05LARV0179
05LARV0180,05LARV0180
05LARV0181,05LARV0181
05LARV0182,05LARV0182
05LARV0183,05LARV0183
05LARV0184,05LARV0184
05LARV0185,05LARV0185
05LARV0186,05LARV0186
05LARV0187,05LARV0187
05LARV0188,05LARV0188
05LARV0189,05LARV0189
05LARV0190,05LARV0190
05LARV0191,05LARV0191
05LARV0192,05LARV0192
05LARV0193,05LARV0193
05LARV0194,05LARV0194
05LARV0195,05LARV0195
05LARV0196,05LARV0196
05LARV0197,05LARV0197
05LARV0198,05LARV0198
05LARV0199,05LARV0199
05LARV0200,05LARV0200
05LARV0201,05LARV0201
05LARV0202,05LARV0202
05LARV0203,05LARV0203
05LARV0204,05LARV0204
05LARV0205,05LARV0205
05LARV0206,05LARV0206
05LARV0207,05LARV0207
05LARV0208,05LARV0208
05LARV0209,05LARV0209
05LARV0212,05LARV0212
05LARV0213,05LARV0213
05LARV0214,05LARV0214
05LARV0215,05LARV0215
05LARV0216,05LARV0216
05LARV0217,05LARV0217
05LARV0218,05LARV0218
05LARV0219,05LARV0219
05LARV0220,05LARV0220
05LARV0221,05LARV0221
05LARV0222,05LARV0222
05LARV0223,05LARV0223
05LARV0224,05LARV0224
05LARV0225,05LARV0225
05LARV0226,05LARV0226
05LARV0227,05LARV0227
05LARV0228,05LARV0228
05LARV0229,05LARV0229
05LARV0230,05LARV0230
05LARV0231,05LARV0231
05LARV0232,05LARV0232
05LARV0233,05LARV0233
05LARV0234,05LARV0234
05LARV0235,05LARV0235
05LARV0236,05LARV0236
05LARV0237,05LARV0237
05LARV0238,05LARV0238
05LARV0239,05LARV0239
05LARV0240,05LARV0240
05LARV0241,05LARV0241
05LARV0242,05LARV0242
05LARV0243,05LARV0243
05LARV0244,05LARV0244
05LARV0245,05LARV0245
05LARV0246,05LARV0246
05LARV0247,05LARV0247
05LARV0249,05LARV0249
05LARV0250,05LARV0250
05LARV0251,05LARV0251
05LARV0252,05LARV0252
05LARV0253,05LARV0253
05LARV0254,05LARV0254
05LARV0255,05LARV0255
05LARV0256,05LARV0256
05LARV0257,05LARV0257
05LARV0258,05LARV0258
05LARV0259,05LARV0259
05LARV0260,05LARV0260
05LARV0261,05LARV0261
05LARV0262,05LARV0262
05LARV0263,05LARV0263
05LARV0264,05LARV0264
05LARV0265,05LARV0265
05LARV0266,05LARV0266
05LARV0267,05LARV0267
05LARV0268,05LARV0268
05LARV0269,05LARV0269
05LARV0270,05LARV0270
05LARV0271,05LARV0271
05LARV0272,05LARV0272
05LARV0273,05LARV0273
05LARV0274,05LARV0274
05LARV0275,05LARV0275
05LARV0276,05LARV0276
05LARV0277,05LARV0277
05LARV0278,05LARV0278
05LARV0279,05LARV0279
05LARV0280,05LARV0280
05LARV0281,05LARV0281
05LARV0282,05LARV0282
05LARV0283,05LARV0283
05LARV0284,05LARV0284
05LARV0285,05LARV0285
05LARV0286,05LARV0286
05LARV0287,05LARV0287
05LARV0288,05LARV0288
05LARV0289,05LARV0289
05LARV0290,05LARV0290
05LARV0291,05LARV0291
05LARV0292,05LARV0292
05LARV0293,05LARV0293
05LARV0294,05LARV0294
05LARV0295,05LARV0295
05LARV0296,05LARV0296
05LARV0297,05LARV0297
05LARV0298,05LARV0298
05LARV0299,05LARV0299
05LARV0300,05LARV0300
05LARV0301,05LARV0301
05LARV0302,05LARV0302
05LARV0303,05LARV0303
05LARV0304,05LARV0304
05LARV0305,05LARV0305
05LARV0306,05LARV0306
05LARV0307,05LARV0307
05LARV0308,05LARV0308
05LARV0309,05LARV0309
05LARV0310,05LARV0310
05LARV0311,05LARV0311
05LARV0312,05LARV0312
05LARV0313,05LARV0313
05LARV0314,05LARV0314
05LARV0315,05LARV0315
05LARV0316,05LARV0316
05LARV0317,05LARV0317
05LARV0318,05LARV0318
05LARV0319,05LARV0319
05LARV0320,05LARV0320
05LARV0321,05LARV0321
05LARV0322,05LARV0322
05LARV0323,05LARV0323
05LARV0324,05LARV0324
05LARV0325,05LARV0325
05LARV0326,05LARV0326
05LARV0327,05LARV0327
05LARV0328,05LARV0328
05LARV0329,05LARV0329
05LARV0330,05LARV0330
05LARV0331,05LARV0331
05LARV0332,05LARV0332
05LARV0333,05LARV0333
05LARV0334,05LARV0334
05LARV0335,05LARV0335
05LARV0336,05LARV0336
1/01/01j8,1v01v01j8
1/01/01j9,1v01v01j9
1/12/01j27,1v12v01j27
10/12/01j11,10v12v01j11
10/12/01j21,10v12v01j21
10/12/01j28,10v12v01j28
10/12/01j33,10v12v01j33
10/12/01j6,10v12v01j6
11/12/01j38,11v12v01j38
11/12/01j39,11v12v01j39
11/12/01j46,11v12v01j46
12/11/01j21,12v11v01j21
12/12/01j10,12v12v01j10
12/12/01j12,12v12v01j12
12/12/01j14,12v12v01j14
12/12/01j15,12v12v01j15
12/12/01j16,12v12v01j16
12/12/01j18,12v12v01j18
12/12/01j19,12v12v01j19
12/12/01j20,12v12v01j20
12/12/01j29,12v12v01j29
12/12/01j3,12v12v01j3
12/12/01j30,12v12v01j30
12/12/01j31,12v12v01j31
12/12/01j37,12v12v01j37
12/12/01j39,12v12v01j39
12/12/01j40,12v12v01j40
12/12/01j41,12v12v01j41
12/12/01j9,12v12v01j9
13/12/01j14,13v12v01j14
14/11/01j5,14v11v01j5
14/11/01j6,14v11v01j6
14/11/01j7,14v11v01j7
14/11/01j9,14v11v01j9
14/12/00j23,14v12v00j23
14/12/00j28,14v12v00j28
14/12/01j12,14v12v01j12
14/12/01j19,14v12v01j19
14/12/01j20,14v12v01j20
14/12/01j21,14v12v01j21
