Location,Region,species abbreviation,species,genus,family,fish ID,run,lane,size (BL),size (TL),stage,Ucrit (cm/s),cohort date,measurement date,temperature ,publication,Total Lateral area (mm²),Propulsive Area (mm²,Museum collection event,Comment,,,note to Becky
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.2,,,10,,postflex,20,,11/05/2004,27.8,Leis et al 2006,49.5,29.3,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.4,,,9,,postflex,22.4,,11/05/2004,27.8,Leis et al 2006,37.6,21.3,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.6,,,9.5,,postflex,16.5,,11/05/2004,27.8,Leis et al 2006,44.4,25.4,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.8,,,9,,postflex,15,,11/05/2004,27.8,Leis et al 2006,41.6,24.6,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.10,,,9,,postflex,17.5,,11/05/2004,27.8,Leis et al 2006,42.7,24.7,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.12,,,10.5,,postflex,8.5,,11/05/2004,27.8,Leis et al 2006,52,33.6,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.26,,,10.5,,postflex,22.7,,11/05/2004,28.4,Leis et al 2006,57,33.9,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.28,,,11,,postflex,26.4,,11/05/2004,28.4,Leis et al 2006,63.9,36.4,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.30,,,8.5,,postflex,12.8,,11/05/2004,28.4,Leis et al 2006,40,21.7,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.32,,,13,,postflex,22.4,,11/05/2004,28.4,Leis et al 2006,81,49,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.34,,,8.5,,postflex,20,,11/05/2004,28.4,Leis et al 2006,41,22.3,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/11.5.36,,,9,,postflex,17.5,,11/05/2004,28.4,Leis et al 2006,42.9,28.7,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/13.5.1,,,9.5,,postflex,12.5,,13/05/2004,28.7,Leis et al 2006,42,24.1,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/13.5.3,,,10,,postflex,18,,13/05/2004,28.7,Leis et al 2006,45.8,26,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/13.5.5,,,9,,postflex,19.7,,13/05/2004,28.7,Leis et al 2006,28.3,27,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/13.5.7,,,8,,postflex,15,,13/05/2004,28.7,Leis et al 2006,35,21,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/13.5.9,,,9,,postflex,18,,13/05/2004,28.7,Leis et al 2006,43,26.4,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/13.5.11,,,9.5,,postflex,13.3,,13/05/2004,28.7,Leis et al 2006,45,26,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/14.5.13,,,12.5,,postflex,18.2,,14/05/2004,28.2,Leis et al 2006,71.9,41.3,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/14.5.15,,,13,,postflex,22.4,,14/05/2004,28.2,Leis et al 2006,80,46,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/14.5.17,,,13.5,,postflex,20.8,,14/05/2004,28.2,Leis et al 2006,83.4,46.6,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/14.5.19,,,13.5,,postflex,26.9,,14/05/2004,28.2,Leis et al 2006,95,58,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/14.5.21,,,12.5,,postflex,27.2,,14/05/2004,28.2,Leis et al 2006,88.6,52.3,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/14.5.23,,,15,,postflex,24,,14/05/2004,28.2,Leis et al 2006,104,60.9,I.43435,,,,
TWN,Western Central Pacific,Carign,ignobilis,Caranx,Carangidae,JML04/14.5.25,,,12.5,,postflex,22.1,,14/05/2004,27.8,Leis et al 2006,76.9,46,I.43435,,,,
