species_id,family_id,family,genus,species,swim behaviour,reef fish,sett age lw,sett age est,sett age up
geHsp1,ge,Gerridae,,,ok,,,,
caHunknown,ca,Carangidae,,,ok,,,,
syHunkown,sy,Syngnathidae,,,ng,,,,
moHunkown,mo,Monacanthidae,,,ok,,,,
luHunknown,lu,Lutjanidae,,,ok,,,,
cnHsp1,cn,Chaenopsidae,,,ok,,,,
apHuknown,ap,Apogonidae,,,ok,,,,
caHsp2,ca,Carangidae,,,ok,,,,
peasax,pe,Pomacentridae,Abudefduf,saxatilis,ok,y,,,
peavag,pe,Pomacentridae,Abudefduf,vagiensis,ok,y,,19.57,
peapol,pe,Pomacentridae,Acanthochromis,polyacanthus,ok,y,,,
acacoe,ac,Acanthuridae,Acanthurus,coeruleus,ok,y,,,
acachi,ac,Acanthuridae,Acanthurus,chirurgus,ok,y,,,
acabah,ac,Acanthuridae,Acanthurus,bahianus,ok,y,,,
acHunkown,ac,Acanthuridae,Acanthurus,,ok,,,,
acLIb,ac,Acanthuridae,Acanthurus,sp.,ok,y,,,
peabre,pe,Pomacentridae,Amblypomacentrus,breviceps,ok,y,,,
peacla,pe,Pomacentridae,Amphiprion,clarkii,ok,y,,12.15,
peaper,pe,Pomacentridae,Amphiprion,percula,ok,y,,8,
peaaki,pe,Pomacentridae,Amphiprion,akindynos,ok,y,,,
peamel,pe,Pomacentridae,Amphiprion,melanopus,ok,y,,9,
anHsp2,an,Antennariidae,Antennariidae,,ok,,,,
anHsp1,an,Antennariidae,Antennariidae,,ok,,,,
apLI12,ap,Apogonidae,Apogon,cf doederlini type,ok,y,,22.6,
apLIe,ap,Apogonidae,Apogon,hoeveni,ok,y,,,
apatri,ap,apogonidae,Apogon,trimaculatus,ok,y,,,
apacom,ap,Apogonidae,Apogon,compressus,ok,y,,24,
apLIm,ap,Apogonidae,Apogon ,"exostigma, kalloperus or frenatus",ok,y,,,
apaqua,ap,Apogonidae,Apogon,quadrisquamatus,ok,,,,
apapla,ap,Apogonidae,Apogon,planifrons,ok,,,,
apamac,ap,Apogonidae,Apogon,maculatus,ok,,,,
apacya,ap,apogonidae,Apogon,cyanosoma,ok,y,,18.2,
apLI16,ap,Apogonidae,Apogonid,sp. B,ok,y,,,
apLIk,ap,Apogonidae,Apogonid,sp. F,ok,y,,,
apLIb,ap,Apogonidae,Apogonid,sp. E,ok,y,,,
apLI9,ap,Apogonidae,Apogonid,sp. D,ok,y,,,
apLIu,ap,Apogonidae,Apogonid,sp. G,ok,y,,,
apLI11,ap,Apogonidae,Apogonid,sp. A,ok,y,,,
apLI18,ap,Apogonidae,Apogonid,sp. C,ok,y,,,
apapun,ap,Apogonidae,Astrapogon,puncticulatus,ok,,,,
baHsp1,ba,Balistidae,Balistes,,ok,,,,
baLIa,ba,Balistidae,Balistid,sp.,ok,y,,,
luccun,lu,lutjanidae,Caesio,cuning,ok,y,,,
moHcansp1,mo,Monacanthidae,Cantherhines,,ok,,,,
tecros,tt,Tetraodontidae,Canthigaster,rostrata,ok,,,,
tecben,tt,Tetraodontidae,Canthigaster,bennetti,ok,y,,,
caHsp1,ca,Carangidae,Carangidae,,ok,,,,
caHCaranx,ca,Carangidae,Caranx,,ok,,,,
chceph,ch,Chaetodontidae,Chaetodon,ephippium,ok,,,,
chctrit,ch,Chaetodontidae,Chaetodon,trifasciatus,ok,,,,
chcuni,ch,Chaetodontidae,Chaetodon,unimaculatis,ok,,,,
chcvag,ch,Chaetodontidae,Chaetodon,vagabundus,ok,,,,
chccap,ch,Chaetodontidae,Chaetodon,capistratus,ok,,,,
chcauri,ch,Chaetodontidae,Chaetodon,auriga,ok,y,,43.5,
chcmel,ch,Chaetodontidae,Chaetodon,melanotus,ok,y,,,
chcple,ch,Chaetodontidae,Chaetodon,plebius,ok,y,,39,
chcrai,ch,Chaetodontidae,Chaetodon,rainfordi,ok,y,,35,
chctri,ch,Chaetodontidae,Chaetodon,trifascialis,ok,y,,,
chcaure,ch,Chaetodontidae,Chaetodon,aureofasciatus,ok,y,,,
chLIb,ch,Chaetodontidae,Chaetodontid,sp.,ok,y,,,
apLIo,ap,Apogonidae,Cheilodipterus,quinequelineatus,ok,y,,,
chcros,ch,Chaetodontidae,Chelmon,rostratus,ok,,,,
pecatr,pe,Pomacentridae,Chromis,atripectoralis,ok,y,,20.65,
pectri,pe,Pomacentridae,Chrysiptera,tricincta,ok,,,,
peccya,pe,Pomacentridae,Chrysiptera,cyanea,ok,,,,
pecfla,pe,Pomacentridae,Chrysiptera,flavipinnis,ok,,,,
pectau,pe,Pomacentridae,Chrysiptera,taupou,ok,,,,
pecres,pe,Pomacentridae,Chrysiptera,rex,ok,,,,
pecrol,pe,Pomacentridae,Chrysiptera,rollandi,ok,y,,22,
dicant,di,Diodontidae,Chylomycterus,antennatus,ok,,,,
lacpar,la,Labridae,Clepticus,parrae,ok,,,,
sycel,sy,Syngnathidae,Cosmocampus,elucens,ng,,,,
pedret,pe,Pomacentridae,Dacyllus,reticulatus,ok,y,,25.62,
pedtri,pe,Pomacentridae,Dacyllus,trimaculatus,ok,y,,24.2,
pedaru,pe,Pomacentridae,Dascyllus,aruanus,ok,y,,21.7,
pedpro,pe,Pomacentridae,Dischistodus,prosopotaenia,ok,y,,17,
seemys,se,Serranidae,Epinephelus,mystacinus,ok,,,,
blesti,bl,Blennidae,Exsenius,stictus,ng,y,,,
apLIh,ap,Apogonidae,Fowleria,sp.,ok,y,,,
caLIa,ca,Carangidae,Gnathanodon,speciosus,ok,n,,,
hahfla,ha,Haemulidae,Haemulon,flavolineatum,ok,,,,
pahcil,pa,Pomacanthidae,Holacanthus,ciliarus,ok,,,,
hoLIa,ho,Holocentridae,Holocentrus,sp.,ok,y,,,
elon,cl,Clupeidae,Jenkinsia,spp.,ok,n,,,
osltri,os,Ostraciidae,Lactophrys,triqueter,ok,,,,
oslbic,os,Ostraciidae,Lactophrys,bicaudalis,ok,,,,
lelsp,le,Lethrinidae,Lethrinus,spp.,ok,y,,48.5,
lulana,lu,Lutjanidae,Lutjanus,analis,ok,y,,34,
lulapo,lu,Lutjanidae,Lutjanus,apodus,ok,y,,,
lulcya,lu,Lutjanidae,Lutjanus,cyanopterus,ok,y,,,
lulmah,lu,Lutjanidae,Lutjanus,mahogani,ok,,,,
lulcar,lu,Lutjanidae,Lutjanus,carponotatus,ok,y,,,
luLI19c,lu,Lutjanidae,Lutjanus,quinquelineatus,ok,y,,,
blmatr,bl,Blennidae,Meicanthus,atrodorsalis,ng,y,,,
pemchr,pe,Pomacentridae,Microspathodon,chrysurus,ok,,,,
momcil,mo,Monacanthidae,Monacanthus,ciliatus,ok,,,,
momtuc,mo,Monacanthidae,Monacanthus,tuckeri,ok,,,,
acLIa,ac,Acanthuridae,Naso,brevirostris,ok,y,,90.78,
apLIf,ap,Apogonidae,Nemia,octospina,ok,y,,,
pennig,pe,Pomacentridae,Neoglyphidodon,nigoris,ok,y,,19.35,
pennigo,pe,Pomacentridae,Neoglyphidodon,nigoris,ok,,,,
penmel,pe,Pomacentridae,Neoglyphidodon,melas,ok,,,,
peLIn,pe,Pomacentridae,Neopomacentrus,sp.,ok,y,,,
pencya,pe,Pomacentridae,Neopomacentrus,cyanomos,ok,y,,20.67,
penazy,pe,Pomacentridae,Neopomacentrus,azysron,ok,y,,20.73,
luochr,lu,Lutjanidae,Ocyurus,chrysurus,ok,y,,62,
ogona,og,Ogcocephalidae,Ogcocephalus,nasutus,ok,,,,
bloatl,bl,Blenniidae,Ophioblennius,atlanticus,ng,,,,
moolon,mo,Monacanthidae,Oxymonacanthus,longirostris,ok,y,,,
moJEFFpara,mo,Monacanthidae,Paramonacanthus,sp.,ok,y,,,
blLId,bl,Blennidae,Petroscirtes,mitratis,ng,y,,24.5,
blpfal,bl,Blennidae,Petroscirtes,fallax,ng,y,,,
blplup,bl,Blennidae,Petroscirtes,lupus,ng,n,,,
apppig,ap,Apogonidae,Phaeoptyx,pigmentaria,ok,y,,,
sepleo,se,Serranidae,Plectropomus,leopardus,ok,y,,,
papsex,pa,Pomacanthidae,Pomacanthus,sextriatus,ok,y,,,
peLIee,pe,Pomacentridae,Pomacentrid,sp. A,ok,y,,,
peLIz,pe,Pomacentridae,Pomacentrid,sp. B,ok,y,,,
pepwar,pe,Pomacentridae,Pomacentrus,wardi,ok,y,,26.18,
pepnag,pe,Pomacentridae,Pomacentrus,nagasakiensis,ok,y,,23.5,
pepmol,pe,Pomacentridae,Pomacentrus,moluccensis,ok,y,,17.15,20
peplep,pe,Pomacentridae,Pomacentrus,lepidogenys,ok,y,,20,
pepcoe,pe,Pomacentridae,Pomacentrus,coelestis,ok,y,,25.12,
pepchr,pe,Pomacentridae,Pomacentrus,chrysurus,ok,y,,19.5,
peLIl,pe,Pomacentridae,Pomacentrus,bankanensis,ok,y,,20.68,
pepade,pe,Pomacentridae,Pomacentrus,adelus,ok,,,,
pepbrach,pe,Pomacentridae,Pomacentrus,brachialis,ok,y,,18,
peLIk,pe,Pomacentridae,Pomacentrus,brachialis,ok,y,,18,
pepamb,pe,Pomacentridae,Pomacentrus,amboinensis,ok,y,,22.02,
pepobt,pe,Pomacentridae,Pristotis,obtusirostris,ok,y,,,
NoLIa,no,Nomeidae,Psenes,sp.,ok,n,,,
psLIc,ps,Pseudochromidae,Pseudochromid,sp. C,ok,y,,,
psLIb,ps,Pseudochromidae,Pseudochromid,sp. B,ok,y,,,
psLIa,ps,Pseudochromidae,Pseudochromid,sp. A,ok,y,,,
moLIb,mo,Monacanthidae,Pseudomonacanthus,peroni,ok,y,,,
apLIt,ap,Apogonidae,Rhabdamia,sp.,ok,y,,,
hoscor,ho,Holocentridae,Sargocentron,coruscum,ok,y,,,
hosvex,ho,Holocentridae,Sargocentron,vexillarium,ok,y,,,
