species_id,batch_id,sample_id,age,critical speed,eggdur
pepamb,1,reared-1-1-1,1,2.25,4
pepamb,1,reared-1-1-1,1,2.5625,4
pepamb,1,reared-1-1-1,1,3.0625,4
pepamb,1,reared-1-1-1,1,4.25,4
pepamb,1,reared-1-1-1,1,5.25,4
pepamb,1,reared-1-1-1,1,5.375,4
pepamb,1,reared-1-1-1,1,5.75,4
pepamb,1,reared-1-1-1,1,5.0625,4
pepamb,1,reared-1-1-1,1,5.0625,4
pepamb,1,reared-1-1-1,1,5.375,4
pepamb,1,reared-1-1-1,1,5.75,4
pepamb,1,reared-1-1-1,1,6.375,4
pepamb,3,reared-1-3-1,1,2,4
pepamb,3,reared-1-3-1,1,3,4
pepamb,3,reared-1-3-1,1,3.75,4
pepamb,3,reared-1-3-1,1,1.75,4
pepamb,3,reared-1-3-1,1,2.5,4
pepamb,3,reared-1-3-1,1,2.75,4
pepamb,3,reared-1-3-1,1,2.875,4
pepamb,3,reared-1-3-1,1,3,4
pepamb,3,reared-1-3-1,1,3.75,4
pepamb,3,reared-1-3-1,1,0.25,4
pepamb,3,reared-1-3-1,1,1.75,4
pepamb,3,reared-1-3-1,1,0.75,4
pepamb,1,reared-1-1-3,3,6,4
pepamb,1,reared-1-1-3,3,6.25,4
pepamb,1,reared-1-1-3,3,4.5,4
pepamb,1,reared-1-1-3,3,4.625,4
pepamb,1,reared-1-1-3,3,5,4
pepamb,1,reared-1-1-3,3,1.875,4
pepamb,1,reared-1-1-3,3,5.75,4
pepamb,1,reared-1-1-3,3,6.25,4
pepamb,1,reared-1-1-3,3,2.375,4
pepamb,1,reared-1-1-3,3,1.75,4
pepamb,1,reared-1-1-3,3,7,4
pepamb,2,reared-1-2-3,3,4,4
pepamb,2,reared-1-2-3,3,3,4
pepamb,2,reared-1-2-3,3,2.25,4
pepamb,2,reared-1-2-3,3,1.75,4
pepamb,2,reared-1-2-3,3,4.625,4
pepamb,2,reared-1-2-3,3,3.25,4
pepamb,2,reared-1-2-3,3,2.25,4
pepamb,2,reared-1-2-3,3,2.5,4
pepamb,2,reared-1-2-3,3,4.0625,4
pepamb,2,reared-1-2-3,3,3.625,4
pepamb,2,reared-1-2-3,3,1,4
pepamb,2,reared-1-2-3,3,0.5,4
pepamb,3,reared-1-3-3,3,3.0625,4
pepamb,3,reared-1-3-3,3,3.75,4
pepamb,3,reared-1-3-3,3,3.5,4
pepamb,3,reared-1-3-3,3,3.875,4
pepamb,3,reared-1-3-3,3,5.25,4
pepamb,3,reared-1-3-3,3,5.75,4
pepamb,3,reared-1-3-3,3,6.5625,4
pepamb,3,reared-1-3-3,3,2,4
pepamb,1,reared-1-1-6,6,8.5,4
pepamb,1,reared-1-1-6,6,8.5,4
pepamb,1,reared-1-1-6,6,6.4875,4
pepamb,1,reared-1-1-6,6,6.05,4
pepamb,1,reared-1-1-6,6,5.35,4
pepamb,1,reared-1-1-6,6,4.65,4
pepamb,2,reared-1-2-6,6,8.5,4
pepamb,2,reared-1-2-6,6,8.5,4
pepamb,2,reared-1-2-6,6,5.175,4
pepamb,2,reared-1-2-6,6,8.325,4
pepamb,2,reared-1-2-6,6,4.65,4
pepamb,2,reared-1-2-6,6,5.784,4
pepamb,2,reared-1-2-6,6,6.925,4
pepamb,2,reared-1-2-6,6,7.1875,4
pepamb,2,reared-1-2-6,6,8.5,4
pepamb,2,reared-1-2-6,6,5.525,4
pepamb,2,reared-1-2-6,6,6.925,4
pepamb,2,reared-1-2-6,6,6.05,4
pepamb,3,reared-1-3-6,6,5.175,4
pepamb,3,reared-1-3-6,6,3.25,4
pepamb,3,reared-1-3-6,6,3.425,4
pepamb,3,reared-1-3-6,6,3.425,4
pepamb,3,reared-1-3-6,6,3.6875,4
pepamb,3,reared-1-3-6,6,0.7875,4
pepamb,3,reared-1-3-6,6,0,4
pepamb,3,reared-1-3-6,6,3.6875,4
pepamb,3,reared-1-3-6,6,8.5,4
pepamb,3,reared-1-3-6,6,0,4
pepamb,3,reared-1-3-6,6,0,4
pepamb,1,reared-1-1-9,9,8.5,4
pepamb,1,reared-1-1-9,9,7.375,4
pepamb,1,reared-1-1-9,9,6.95,4
pepamb,1,reared-1-1-9,9,4.6,4
pepamb,1,reared-1-1-9,9,3.8125,4
pepamb,2,reared-1-2-9,9,5.05,4
pepamb,2,reared-1-2-9,9,13.215,4
pepamb,2,reared-1-2-9,9,11.875,4
pepamb,2,reared-1-2-9,9,10.775,4
pepamb,2,reared-1-2-9,9,7.85,4
pepamb,2,reared-1-2-9,9,8.3,4
pepamb,2,reared-1-2-9,9,5.6,4
pepamb,2,reared-1-2-9,9,5.87,4
